Title,Date,Keywords,Genre (Fiction/Nonfiction/etc.),Author,Links,Reviews,Publication,Related Resource,Notes
The History of White People,,"white race, whiteness, power, history",,Nell Irvin Painter,,17 Books On Race Every White Person Needs To Read,,,
Chokehold: Policing Black Men,7/11/2017,"policing, criminal justice, supreme court, law, police reform","Nonfiction, Law Enforcement",Paul Butler,http://thenewpress.com/books/chokehold,Three New Books Discuss How to Confront and Reform Racist Policing,The New Press,Book Review,"Paul Butler is a former federal prosecutor
consequences of the war on drugs"
Longing: Stories of Racial Healing,2010,,,"Phyllis A. Unterschuetz, Eugene F. Unterschuetz",,,Bahai Publishing,,Racial Taboo resources
Invisible Man,1952,"racism, the Great Migration, U.S. history 1900–1950",fiction,Ralph Ellison,,,,,
Into White,2016,,Teen fiction,Randi Pink,,,,,"(New York: Feiwel and Friends, 2016)"
The Color of Law: A Forgotten History of How Our Government Segregated America,,"segregated public housing, racial zoning, city planning, discriminatory laws",,Richard Rothstein,,17 Books On Race Every White Person Needs To Read,,,
"The Heart of Whiteness: Confronting Race, Racism, and White Privilege",9/1/2005,white privilege,,Robert Jensen,http://robertwjensen.org/books/,http://www.npr.org/templates/story/story.php?storyId=5539692,City Lights,,
White Fragility: Why It's So Hard for White People to Talk about Racism,2018,"talking about race, whiteness, white privilege, dismantling racism, colorblindness",nonfiction,Robin Di'Angelo and Michael Eric Dyson,,,Beacon Press,,
What Does It Mean to be White? Developing White Racial Literacy,5/30/2012,,,Robin DiAngelo,Guest: What Does It Mean to be White?,,,,"(New York: Peter Lang, 2012)"
Same Kind of Different as Me,6/2006,,Biography,Ron Hall and Denver Moore with Lynn Vincent,,,,,"(Nashville, TN: Thomas Nelson, 2006)"
Mindful of Race: Transforming Racism from the Inside Out,2018,"meditation, racial identity, dismantling racism",nonfiction,Ruth King,,,,,
Algorithms of Oppression: How Search Engines Reinforce Racism,2018,"data discrimination, racial bias, racism, sexism, white privilege",nonfiction,Safiya Noble,,,,,
"Writing my Wrongs: Life, Death, and Redemption in an American Prison",2013,,"Nonfiction, Memoir",Shaka Senghor,http://www.shakasenghor.com,,,,
Good White People: The Problem with Middle-Class White Anti-Racism,2014,,,Shannon Sullivan,,,SUNY Press,,Racial Taboo resources
Witnessing Whiteness: the need to talk about race and how to do it,11/16/2007,"white race, white privelege, whiteness",,Shelly Tochluk,Witnessing Whiteness Resources,,,,First Steps toward Anti-Racist Practice and Culture
"Bright Lights, Dark Nights",2015,,Teen fiction,Stephen Emond,,,,,"(New York: Roaring Book, 2015)"
Sundiata Cha-Jua/Real Talk: MSNBC's Hayes on internal colonialism,4/2/2017,,Book Review,Sundiata Cha-Jua,,Sundiata Cha-Jua/Real Talk: MSNBC's Hayes on internal colonialism,The News-Gazette,,"Chris Hayes’ book, A Colony in a Nation"
Becoming Ms. Burton: From Prison to Recovery to Leading the Fight for Incarcerated Women,4/18/2017,,"Nonfiction, Memoir, Autobiography","Susan Burton, Cari Lynn ",,,The New Press,,
Between the World and Me,7/14/2015,"race relations, American history","Nonfiction, Memoir",Ta-Nehisi Coates,,https://www.nytimes.com/2015/08/17/books/review/ta-nehisi-coates-between-the-world-and-me.html?mcubz=0,Spiegel & Grau,,
"The Invention of the White Race
Volume I: Racial Oppression and Social Control
Volume II: The Origin of Racial Oppression in Anglo-America",,"white race, racial discrimination, dismantling racism",,Theodore W. Allen,,17 Books On Race Every White Person Needs To Read,,,2 volume work
White Like Me: Reflections on Race from a Priveleged Son,12/21/2004,"white race, white privelege, whiteness",Memoir,Tim Wise,Tim Wise website,17 Books On Race Every White Person Needs To Read,,,
Hundreds of Interlaced Fingers: A Kidney Doctor's Search For The Perfect Match,6/2017,,"Nonfiction, Science, Memoir","Vanessa Grubbs, MD",https://www.thenephrologist.com,http://www.npr.org/sections/health-shots/2017/06/24/533966000/interlaced-fingers-traces-roots-of-racial-disparity-in-kidney-transplants?sc=17&f=1032&utm_source=iosnewsapp&utm_medium=Email&utm_campaign=app,,,
Destroyer,5/24/2017,"comic, Frankenstein, police violence, race, identity",Comic,Victor LaValle,,Updating Frankenstein For The Age of Black Lives Matter,,,might be good to use in Halloween newsletter
"They Can't Kill Us All: Ferguson, Baltimore, and a New Era in America's Racial Justice Movement",,"police violence, race, racial injustice, statistics",,Wesley Lowery,,17 Books On Race Every White Person Needs To Read,,,
Don't Leave Your Friends Behind: Concrete Ways to Support Families in Social Justice Movements and Communities,9/2012,,Anthology,,http://secure.pmpress.org/index.php?l=product_detail&p=502,,PM Press,,
Rad Families: A Celebration,10/1/2016,,Anthology,,http://secure.pmpress.org/index.php?l=product_detail&p=811,,PM Press,,
Revolutionary Mothering: Love on the Front Lines,3/2016,,Anthology,,http://secure.pmpress.org/index.php?l=product_detail&p=746,,PM Press,,
